Id,Title,Body,AcceptedAnswer,SDLC
43462940,Not able to disable right-click in Salesforce Lightning Page,"<p>The problem is simple if done in a html page using javascript/jquery. But not working in a Salesforce Lightning Page.
I want to disable a <code>ui:inputText</code> but not able to do it since it doesn't support <code>contextmenu</code> event.
I am able to detect the right click correctly but failing to disable it using <code>mousedown</code> event and <code>return false</code>.</p>

<p>Here is my code below</p>

<p>Page</p>

<pre><code>&lt;ui:inputText aura:id=""phid"" class=""input-data phoneTxt"" value=""{!v.phno}"" keydown=""{!c.checkKey}"" maxlength=""10""
                      cut=""{!c.showresult}"" mousedown=""{!c.showresult}"" updateOn=""cut keydown keyup keypress mousedown""  /&gt;
</code></pre>

<p>Controller</p>

<pre><code>preventAction : function(component, event, helper) {
    //console.log(event.getParams('button'));
    console.log(event.getParams());
    if (event.getParams().domEvent.button==2){
        //alert(""Right Click is not Allowed"");
        //event.getParams().domEvent.preventDefault();
        //event.getParams().domEvent.stopPropagation();
        event.getParams().domEvent.returnValue = false;
    }
}
</code></pre>

<p>Note: I was previously trying to disable the right-click cut, copy &amp; paste but thought of disabling only the right-click should solve the problem.</p>

<p>Please suggest some solution to this problem.</p>

<p>Thanks in advance.</p>
","<p>Hi this one worked for me. In component add this,</p>

<pre><code>  &lt;aura:handler name=""init"" value=""{!this}"" action=""{!c.doInit}""/&gt;
</code></pre>

<p>In controller.js add this</p>

<pre><code>  doInit : function(component, event, helper) {
       document.addEventListener('contextmenu', event =&gt; event.preventDefault());
  },
</code></pre>
",3__development
43480568,PowerApp Using SharePoint List is not Showing New Columns/Fields,"<p>When creating a PowerApp using a SharePoint list as the data source, any new columns/fields created in the SP list are not retroactively refreshed in the PowerApp. </p>

<p>The data (SP list items) refreshes, but the new columns/fields are not available.</p>

<p>In other words, if I...</p>

<ol>
<li>Create a SP list named ""foo"" with 2 columns (first name, last name)</li>
<li>Create a PowerApp using the SP list ""foo"" as the data source</li>
<li>Update SP list ""foo"" to have 3 columns (first name, last name, e-mail)</li>
<li>When I reload the PowerApp, it will not show a field for ""e-mail"".</li>
</ol>

<p>Am I doing it wrong?</p>
","<p>When PowerApps generates an app from a SharePoint list or other data source, it generates the app based on the current state of the data source. If the data source changes, the app will not automatically edit itself to account for this.</p>

<p>Because of this, to update an app based on a changed data source, you will need to manually adjust it. Fortunately, this isn't difficult.</p>

<p>Below, I have an app I generated from a list called ""PowerAppList"", which had a Title column and a Column1 column. I then added Column2. As you can see, it still hasn't been adjusted.</p>

<p><a href=""https://i.stack.imgur.com/qCre7.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/qCre7.png"" alt=""App from SharePoint""></a></p>

<p>First, we need to refresh the data source in the app. This allows the app to refetch the schema of the list, which is important since it changed.</p>

<p><a href=""https://i.stack.imgur.com/cpNCH.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/cpNCH.png"" alt=""Refresh""></a></p>

<p>After refreshing, we need to change the forms in the app. Here I have selected the Edit form on the third screen. Notice that we now have a hidden card for Column2, since we refreshed the data source.</p>

<p><a href=""https://i.stack.imgur.com/Au3CL.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/Au3CL.png"" alt=""Edit Screen""></a></p>

<p>When we click the eye icon, a data card will be added to the form for Column 2.</p>

<p><a href=""https://i.stack.imgur.com/6GL0Q.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/6GL0Q.png"" alt=""Edit Screen With Added Data Card""></a></p>

<p>Note that you will need to do this for each form in your app. Here we add the card to the Detail Screen.</p>

<p><a href=""https://i.stack.imgur.com/YUuPg.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/YUuPg.png"" alt=""Detail Screen With Added Data Card""></a></p>
",3__development
43496400,Outsystems common menu,"<p>I am working on outsystems 10.0. I have created a common menu in my app. It should be only visible after the login page. But in my app it is displaying in login screen too. Plz help me in disabling menu in Login screen.</p>
","<p>What kind of application are you building, and what Template are you using?</p>

<p>If it is a Web App, both Web Application (a.k.a. London) and SilkUI templates do not have the menu in the default Login screen generated (inside the Common flow). Same thing for Mobile Apps (for Tablet and Phone templates).</p>

<p>If you have a menu in your Login screen, then you must have have a custom Template.</p>
",2__design
43500546,How do I find out a field's type information for a 'record' in appmaker in Server script?,"<p>I'm trying to create a re-usable script for capturing record changes onSave with Server-side scripting.  To do that, I need the model information for a given table, including what type each field is.</p>

<p>I have figured out how to get the model for my table and details for the fields:</p>

<pre><code>var table = ""Clients"";
var myObject = app.models[table];
// Dump the properties of the 2nd field in the model
console.log(""Field 2 properties: "" + JSON.stringify(myObject[""L""][""fields""][""1""]));
</code></pre>

<p>I see this:</p>

<pre><code>{""name"":""Client"",
""key"":""zzzkS1spSPKkRXMn"",
""displayName"":null,
""description"":""Short name for client (must be unique)"",
""type"":{},
""required"":false,
""uid"":false,
""defaultValue"":null,
""minLength"":0,
""maxLength"":null,
""integer"":false,
""sortable"":true,
""minValue"":null,
""maxValue"":null,
""regexp"":null,
""regexpError"":null,
""possibleValues"":null,
""aggregationType"":null
}
</code></pre>

<p>""type"" looks like an empty property here and I can't seem to figure out how to get any reference to it to tell me what I need.</p>

<p>How do I get usable type information for a given field in a model?</p>
","<p>Right now, App Maker doesn't expose an API to access the model metadata.
You snippet is actually accessing App Maker's internal state and might break in future releases (the ""L"" property is actually obfuscated by a JS compiler and not designed to be accessed from user land).</p>

<p>We know this kind of meta-programming is handy and this is something we might add in the future based on user feedback. Please feel free to submit a request feature in our issue tracker (<a href=""https://developers.google.com/appmaker/support"" rel=""nofollow noreferrer"">https://developers.google.com/appmaker/support</a>).</p>
",3__development
43529651,"Using a locally stored Excel file as data source, with updates from remote","<p>I'm new to Powerapps, and am trying to solve this problem:</p>

<p>The app will rely on a locally stored data file. Either based on an Excel file, or a Sharepoint list. That is, the app needs to be able to query this data while offline. But a second requirement is that this data source should be able to update from within the app. Either by polling the master data (in an online Sharepoint solution), or by the remote server pushing data to the clients when it is updated.</p>

<p>What is a good approach to solve this problem?</p>
",,3__development
43535377,Salesforce Lightning: Controller functions interaction within the same component,"<p>Do anyone know ""how to call a lightning controller function from another function within the same lightning component?"" 
Thanks
Aruna      </p>

<pre><code>    ({ 
    doInit: function(component, event, helper){

   var action = component.get(""c.gettemps"");
    action.setParams({ recordId : component.get(""v.recordId"") });
           action.setCallback(this, function(response){
       var parsedJSON= JSON.parse(response.getReturnValue());
       var size=component.get(""v.limit"");
       var counter = component.get(""v.counter"");
        component.set(""{!v.myObject}"",parsedJSON);



   var list=[];
        for(var i=0; i&lt;size;i++)
        {
             list.push(parsedJSON[i]);
            counter++;

        }
               component.set(""v.end"",counter);
               component.set(""{!v.counter}"",counter);
               component.set(""{!v.paginationList}"",list);

        });
 $A.enqueueAction(action);
},

 next:function(component,event,helper)
{
    var myObject = component.get(""v.myObject"");
    var size=component.get(""v.limit"");
   var end = component.get(""v.end"");
    var counter = component.get(""v.counter"");
    var list=[];

    for(var i=end; i&lt;end+size; i++)
    {
        if(i&lt;myObject.length)
        {
            if(i&gt;-1)
            {


        list.push(myObject[i]);
        counter++;
            }
        }

    } 
     component.set(""v.end"",counter);
     component.set(""{!v.counter}"",counter);
     component.set(""{!v.paginationList}"",list);  

},

previous:function(component,event,helper)
{

     var myObject = component.get(""v.myObject"");
    var size=component.get(""v.limit"");
    var end = component.get(""v.end"");
    var counter = component.get(""v.counter"");
           var list=[];
     for(var i=end-1; i&gt;end-size-1; i--)
    {
        if(i&gt;=-1)
        {

      list.push(myObject[i-1]);
        counter--;
         }


    }
     component.set(""v.end"",counter);
     component.set(""{!v.counter}"",counter);
     component.set(""{!v.paginationList}"",list);  
}   
 })
</code></pre>

<p>Actually I have problem with my previous function. When I stay in my first page and selects previous button my page should not be changed but my code is behaving abnormally. So I thought of reusing my doInit function to stay in the current page when I am already in the first page. Please help
Thanks
Aruna </p>
",,3__development
43549104,How to get the access_token first in Apex Restful service to call GET/POST methods from outside?,"<p>I am doing Salesforce trailhead from the link : <a href=""https://trailhead.salesforce.com/modules/apex_integration_services/units/apex_integration_webservices"" rel=""nofollow noreferrer"">https://trailhead.salesforce.com/modules/apex_integration_services/units/apex_integration_webservices</a>. </p>

<p>In this tutorial they've use <code>access_token</code> to call the <code>GET</code> request. <strong>But they have not guided us how to get the</strong> <code>access_token</code>, which is an important steps to call the APEX Rest from outside.</p>

<p><a href=""https://i.stack.imgur.com/ZtvxV.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ZtvxV.png"" alt=""enter image description here""></a></p>

<p>I tied to do something like below its saying me the error:</p>

<pre><code>https://ap5.salesforce.com/services/oauth2/token?client_id=""3MVG9d8..z.hDcPJZPIzGJ5UZDuKCOqbH8CCGCPnmwQuRbwLZ_2f.thbqWMX82H7JRGx4
6VYyEkuwzQ9._ww5""&amp;client_secret=""1180508865211885204""&amp;username=""pXXXXXXXXXXXXXXX.com""&amp;password=""AgXXXXXXXX""&amp;grant_type=password
</code></pre>

<p><a href=""https://i.stack.imgur.com/219lz.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/219lz.png"" alt=""enter image description here""></a></p>
","<p>I understood the concept now and thanks for sharing other links.</p>

<p><code>client_id, client_secret, username, password and grant_type</code> should be sent in a <code>HTTP POST</code> body not in header.</p>

<pre><code>HttpRequest req = new HttpRequest();
req.setMethod('POST');
req.setHeader('Content-Type','application/x-www-form-urlencoded');
req.setEndpoint('https://ap5.salesforce.com/services/oauth2/token');

String CLIENT_ID = 'XXXXXXXXXXXXXXXXXXXXXXXXX';
String CLIENT_SECRET = 'XXXXXXXXXXXXXXXXXXXXXXX';
String USERNAME = 'XXXXXXXXXXXXXX';
String PASSWORD = 'XXXXXXXXXXXXXX';

req.setBody('grant_type=password' + '&amp;client_id='+CLIENT_ID + 
            '&amp;client_secret='+CLIENT_SECRET + '&amp;username='+USERNAME + '&amp;password='+PASSWORD);

Http http = new Http();
HTTPResponse response = http.send(req);
System.debug('Body ' + response.getBody());
System.debug('Status ' + response.getStatus());
System.debug('Status code ' + response.getStatusCode());
</code></pre>
",3__development
43549963,Fix Notification Email Content,"<p>So I have a Status Dropdown on a fragment page (used to edit database entries) that I want to send an email notification when the entry changes from ""Pending"" to ""Ready to Build"". </p>

<p>I am using the following code: </p>

<pre><code>var widgets = widget.parent.descendants;
    var to = 'notifications@xxx.com';
    var subject = 'New System Order: ' + widgets.ProjectName.value;
    var msg = ""A new order for [ "" + widgets.ProjectName.value + "" ] has been created for [ "" + widgets.UsersPosition.value + "" ]"";
    sendMessage(to, subject, msg);
</code></pre>

<p>You can see that I also have it pulling the Project Name/User Position in the subject/body of the email. These are Text Boxes on that Fragment page displaying the information from the entry. </p>

<p>All of these works great and exactly as desired when the Dropdown and the Text Boxes are all in the same panel. However, when I separate them into separate panels (for aesthetics) the system cannot find <strong>widgets.ProjectName.value</strong> or <strong>widgets.UsersPosition.value</strong>. </p>

<p>I'm assuming I just need to adjust the <strong>var widgets = widget.parent.descendants;</strong> line, but I don't know to what. </p>

<p>Any help would be greatly appreciated. Thank you. </p>
",,3__development
43589592,Uploading .txt file to Salesforce,"<p>In our company we receive files from the banks in .txt format, where information about each payment from a customer is stored as numbers. I want to upload this file to Salesforce, but it seems like it's not possible to upload .txt files to Salesforce, only .csv. What I am trying to do is to parse them based on a set of rules and put each one of these payments in their own record in a ""Payments"" object.</p>

<p>Is there any way to do this using Apex or Visualforce? Or both?</p>
",,3__development
43611109,Logout functionality in OutSystems,"<p>I am working on web app in OutSystems 10.0. In the application, if I log out, it logs off. But when I click the browser back Button, it redirects to the Previous page (which should be displayed only after login). Any suggestions?</p>
",,3__development
43612228,Can I used tableau to connect to the data saved by an application created using google appmaker?,"<p>I am creating an application using google app maker. Is it possible for me to access the data saved by the application in the google drive using tableau?</p>
","<p>Yes, if you are saving you data to google sheets.<a href=""https://www.tableau.com/about/blog/2016/5/connect-directly-your-google-sheets-tableau-10-53954"" rel=""nofollow noreferrer"">Info Here</a></p>
",3__development
43618424,GoogleMap Widget is not loading the coordinates,"<p>I have a simple relationship</p>

<pre><code>companies - contacts
            addresses
            locations 
</code></pre>

<p>The details (contacts, addresses, locations) are on a separate page. Each of these details is a specific table. For locations, I have added a little google icon that opens up a map widget in a separate dialog/window. The separate dialog where google map widget is tied to locations datasource. It should be tied to the specific location row the user clicked on.</p>

<p>The details page is based on companies and each of these details is a table based on contacts/addresses/locations. </p>

<p>Is there a way for me to tell appmaker to use that specific location when the icon is clicked on? I am not sure how it manages to tie the location from a specific company to the dialog. I am guessing it does not.</p>
",,3__development
43634549,Zoho ActionMailer Rails 5.0.1,"<p>What configuration do I need to send email from a rails application with Zoho?</p>

<p>With this configuration:</p>

<pre><code>ActionMailer::Base.delivery_method = :smtp
ActionMailer::Base.smtp_settings = {
  :address              =&gt; 'smtp.zoho.com',
  :port                 =&gt; 465,
  :user_name            =&gt; ENV['NOREPLY_USERNAME'],
  :password             =&gt; ENV['NOREPLY_PASSWORD'],
  :authentication       =&gt; :login,
  :ssl                  =&gt; true,
  :tls                  =&gt; true,
  :enable_starttls_auto =&gt; true
}
</code></pre>

<p>I get this error:
Net::SMTPAuthenticationError (535 Authentication Failed):</p>

<p>With the same configuration but port 587 instead I get this error:
OpenSSL::SSL::SSLError (SSL_connect returned=1 errno=0 state=unknown state: unknown protocol):</p>

<p>I have made sure that NOREPLY_USERNAME and NOREPLY_PASSWORD are the correct values.</p>

<p>Any help would be appreciated.</p>
","<p>Emailed Zoho about this and they told me they checked and my email was hosted in Europe, so they told me to change to smtp.zoho.eu and use 465 SSL or 587 TLS. smtp.zoho.eu worked with 465 SSL and there are no errors and the emails are sent successfully.</p>
",3__development
43642384,Exporting data out of Google AppMaker,"<p>Currently, I store my data on google-drive tables. When I export the data to spreadsheets, the relationship between models are lost. For example, I have a farm object and contacts tied to that farm object. </p>

<p>When I export the data of farms and contacts from my deployment, google gives me a spreadsheet with two sheets (farms, contacts). Each of them contains the data but the relationship of farms and contacts tie to each other is not shown or listed.</p>

<p>Is it not possible to show the relationship? Should I use the google cloud SQL?</p>
","<p>This problem was addressed with one of the latest App Maker releases:</p>

<blockquote>
  <p><strong>November 9, 2017</strong></p>
  
  <p>You can now import and export all app data and relations.</p>
</blockquote>

<p>You can read full release note by pointing your browser to this link:
<a href=""https://developers.google.com/appmaker/release-notes#import_and_export_relations"" rel=""nofollow noreferrer"">https://developers.google.com/appmaker/release-notes#import_and_export_relations</a></p>

<p>Documentation related to import and export functionality can be found here:
<a href=""https://developers.google.com/appmaker/models/import-export"" rel=""nofollow noreferrer"">https://developers.google.com/appmaker/models/import-export</a></p>
",2__design
43646460,App Maker Relations Not A Datasource Option,"<p>So I have two databases (Database A and Database B), with a ONE to MANY relationship.  </p>

<p>I have a page (that used to work) where I had an Accordion Widget for Database A and one for Database B on the same page. </p>

<p>So if I highlighted an entry in Accordion A (Database A), then I would see all the associated entries for Database B displayed in Accordion B. </p>

<p>When I clicked the next entry in Accordion A, Accordion B would update appropriately. I was able to achieve this by setting the Datasource for Accordion B as <strong>Database B (relation)</strong>. </p>

<p>This doesn't seem to be an option any more. </p>

<p>Is there a way to achieve the same thing via a different method? </p>
",,3__development
43655581,How to get values from dynamically created lightning Components?,"<p>I am developing an Lightning application where i am creating components dynamically. As of now code is working fine and gives no error. But my question is how we get values from it.</p>

<p>Let's say this is parent controller class ,</p>

<pre><code>clickMoreFilter: function(cmp, event, helper) {
       $A.createComponent(
        ""c:AccountDynamicForm"",
        {
            ""aura:id"": ""findableAuraId"",
            ""label"": ""Press Me"",
            ""press"": cmp.getReference(""c.clickCreateExpense"")
        },

        function(newButton, status, errorMessage){
            //Add the new button to the body array
            if (status === ""SUCCESS"") {
                var body = cmp.get(""v.body"");
                var newb = newButton.getElement('levels3');
                console.log('checkCmp'+newb);
                body.push(newButton);
                cmp.set(""v.body"", body);
            }
            else if (status === ""INCOMPLETE"") {
                alert(""No response from server or client is offline."")
                // Show offline error
            }
                else if (status === ""ERROR"") {
                    alert(""Error: "" + errorMessage);
                    // Show error message
                }

        }
    );
},
</code></pre>

<p>and this is the dynamic component which i am creating : 

    
     
    
    
    </p>

<pre><code>&lt;div aria-labelledby=""newexpenseform""&gt;
    &lt;!-- CREATE NEW EXPENSE FORM --&gt;
    &lt;br&gt;&lt;/br&gt;
    &lt;form class=""slds-form--inline""&gt;
        &lt;div class=""slds-form-element slds-is-required""&gt;
            &lt;div class=""slds-form-element__control""&gt;
                &lt;ui:inputSelect aura:id=""accIndustry"" class=""slds-select""/&gt;
            &lt;/div&gt;

        &lt;/div&gt;

        &lt;div class=""slds-form-element slds-is-required""&gt;
            &lt;div class=""slds-form-element__control""&gt;
                &lt;ui:inputSelect aura:id=""levels3""  class=""slds-input""&gt;
                    &lt;aura:iteration items=""{!v.contactLevel1}"" var=""level""&gt;
                        &lt;ui:inputSelectOption text=""{!level}"" label=""{!level}""/&gt;
                    &lt;/aura:iteration&gt;
                &lt;/ui:inputSelect&gt;
            &lt;/div&gt;
        &lt;/div&gt;

        &lt;div class=""slds-form-element""&gt;
            &lt;div class=""slds-form-element__control"" onfocusout=""{!c.clickCreateExpense}""&gt;
                &lt;ui:inputText aura:id=""inputValue"" 
                              class=""slds-input""
                              labelClass=""slds-form-element__label""
                              /&gt;
            &lt;/div&gt;
        &lt;/div&gt;
    &lt;/form&gt;
    &lt;!-- / CREATE NEW EXPENSE FORM --&gt;
&lt;/div&gt;
</code></pre>

<p></p>

<p>Now how to get the values from dynamic component to parent component?
Please help me out in this. Thanks in advance.</p>
",,3__development
43667724,Display result of a query that calculates the total of a field as the value of a label in a list,"<p>I have two Datasource tables  Projects and tt_records with a hours number field. There is a one to many relation between the Project and tt_records. I would like to display the total number of hours per project in a table. I am able to compute the total hours in server side function, how do I bind the total with a label on the UI. I am attempting to use the following in the binding on the field. I see the function is called through info statements in the console logs, however the value does not display on the UI clientgetProjHours(@datasource.item._key); following is the Client Script</p>

<pre><code>function clientgetProjHours(key){  
  return (google.script.run.withSuccessHandler(function (key) {
      console.info(""received result"");
    }).getProjHours(key));


}
</code></pre>

<p>Following is the server side script</p>

<pre><code>function getProjHours(key){
  console.log (""In the function getProjHours ("" + key +"")"");

  var pRecords = app.models.Projects.getRecord(key);
  console.log(""Contents of "" + pRecords); 
  var tRecords =pRecords.tt_record;
  console.log(""Contents of t Records"" + tRecords); 
  var total = 0;
  tRecords.forEach (function (item){
      total += item.actuals;                    
      });
  console.log (""The result is: "" + total);
  return total;   

 } 
</code></pre>

<p>Could you please suggest the best way to achieve this fuction. 
Thank you very much for your help</p>
","<p><code>key</code> parameter in <code>function (key) {</code> is the result of the Server Script. </p>

<p>So you just need to replace:  </p>

<pre><code>function (key) {
</code></pre>

<p>With:  </p>

<pre><code>function (result)
</code></pre>

<p>Also replace:  </p>

<pre><code>console.info(""received result"");
</code></pre>

<p>With:  </p>

<pre><code>app.pages.[PageName].descendants.[LabelName].text = result;
</code></pre>

<p>But as it mentioned already <a href=""https://developers.google.com/appmaker/models/calculated"" rel=""nofollow noreferrer"">Calculated Model</a> should fit such use case better.</p>
",3__development
43725028,Filter a dropdown based on the content of another dropdown in PowerApps,"<p>I need to filter a dropdown list from the results of another dropdown list above it.  I'm filtering personnel based on their respective agency, so when the user selects their Agency from the first dropdown list, the second dropdown list is only populated with Personnel from that Agency.</p>

<p>Agency and Personnel are two separate entities (tables) in the common data service (CDS).</p>

<p>So far I can get the list of Agencies from the CDS with</p>

<p><code>Filter(Agency, AgencyType = 9)</code></p>

<p>where [9] = the type of agency I'm filtering for.</p>

<p>I just can't get the list of people assigned to that agency to populate.  I have tried:</p>

<p><code>ITEM: Filter(Personnel, ddAgency.Selected.Value in Personnel.AgencyID)</code>
where ddAgency is the name of the referenced dropdown.</p>

<p>I am getting a single table error from PowerApps, so I guess it's my syntax.  I'm trying to filter data and draw results based on values in 2 entities (tables).</p>

<p>Any suggestions?</p>
","<p>You probably want something along the lines of</p>

<pre><code>ddPersonnel.Items: Filter(Personnel, AgencyID = ddAgency.Selected.Value)
</code></pre>

<p>The expression used to filter the data source already assumes that you are in the context of the data source being filtered, so you don't need to specify <code>Personnel.AgencyID</code> - <code>AgencyID</code> is enough.</p>

<p>The expression on the right of the equality sign (<code>ddAgency.Selected.Value</code>) may need to be updated, if the column that has the agency id is not called <code>Value</code>. For example, if it's called <code>Id</code>, the expression would be the one below.</p>

<pre><code>ddPersonnel.Items: Filter(Personnel, AgencyID = ddAgency.Selected.Id)
</code></pre>

<p>You can read this as ""Filter the data source <code>Personnel</code> where the value of the <code>AgencyID</code> field is the same as the value of the <code>Id</code> of the <code>Agency</code> element selected in the dropdown <code>ddAgency</code>.</p>
",3__development
43733425,FullCalender functionality not working after activating locker service,"<p>FullCalender functionality is not working if we activate locker service.</p>

<p>I tried different versions of fullcalender 3.1.0 and jquery 2.2.4 but still fullcalender functionality not working and no error in the back end. I can see only blank screen.
PFB versions which I have used in my code.</p>

<pre><code>| FullCalendar |---------| 3.1.0 |
| jQuery |-----| 2.2.2 and 2.2.4 |
| jQuery UI |-----------| 1.11.4 |

code

&lt;ltng:require styles=""/resource/FullCalender/fullcalendar-3.1.0/fullcalendar.min.css,
                  /resource/SLDS0122/assets/styles/salesforce-lightning-design-system-ltng.css"" 
              scripts=""/resource/jqueryJSmin2_2_4,
                   /resource/jqueryUIto/jquery-ui-1.11.4.custom/jquery-ui.min.js,
                   /resource/FullCalender/fullcalendar-3.1.0/fullcalendar.min.js"" 
                   afterScriptsLoaded=""{!c.scriptsLoaded}""/&gt;
</code></pre>

<p>Could you please help me to resolve this issue.</p>
",,3__development
43734104,Sizing the image inside rich text field,"<p>I have in my Salesforce""Account"" object a rich text field to save images. When I tried to set its size I'm not able to do that. But if I add text content within it the styling is working perfectly with my text content. Only my image is not responding to the style given for it. I have given my code below.Can anyone figure out what's wrong with the code?</p>

<pre><code> &lt;html&gt; 
 &lt;head&gt; 
 &lt;style type=""text/css""&gt; 
 myDiv 
 { 
  border:0px; 
  height:50px; 
  width:10px; 
 } 
 &lt;/style&gt; 
 &lt;/head&gt; 
 &lt;body&gt; 
 &lt;div id=""myDiv""&gt;Picture {!Picture__c}&lt;/div&gt; 
 &lt;/body&gt;
 &lt;/html&gt;
</code></pre>

<p>Thanks
Aruna V</p>
","<p>It's not possible to resize an image with CSS so go for alternate methods.
For an working method refer <a href=""http://vikhyat.net/code/resize_large_images_js/"" rel=""nofollow noreferrer"">here</a>.</p>
",3__development
43737787,Fullcalendar scheduler not rendered correclty in lightning component,"<p>I try to implement fullcalendar scheduler in a salesforce lightning component.</p>

<p>Here the version and files of fullcalendar and scheduler I use:</p>

<pre><code>&lt;aura:component controller=""SchedulerEvents"" implements=""force:appHostable"" access=""public""&gt;
&lt;ltng:require scripts=""{!join(',',
        $Resource.fullcalendar310 +'/fullcalendar-3.1.0/lib/jquery.min.js' ,
        $Resource.fullcalendar310 + '/fullcalendar-3.1.0/lib/moment.min.js',
        $Resource.fullcalendar310 + '/fullcalendar-3.1.0/fullcalendar.js',
        $Resource.fullcalendar310 + '/fullcalendar-3.1.0/fullcalendar.min.js',
        $Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/lib/jquery.min.js',
        $Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/lib/fullcalendar.min.js' ,
        $Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/lib/gcal.min.js' ,
        $Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/lib/moment.min.js',
        $Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/scheduler.js',
        $Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/scheduler.min.js'


        )}"" afterScriptsLoaded=""{!c.afterScriptsAreLoaded}""/&gt;
&lt;ltng:require styles=""{!$Resource.fullcalendar310 + '/fullcalendar-3.1.0/fullcalendar.css'}""/&gt;
&lt;ltng:require styles=""{!$Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/scheduler.css'}""/&gt;
&lt;ltng:require styles=""{!$Resource.fullcalendarScheduler161 + '/fullcalendar-scheduler-1.6.1/scheduler.min.css'}""/&gt;

&lt;aura:attribute name=""events"" type=""Object[]"" /&gt;
&lt;div aura:id=""scheduler""&gt;&lt;/div&gt;
</code></pre>

<p></p>

<p>My javascript function setting up the calendar:</p>

<pre><code>loadDataToCalendar :function(component,data){
    var ele = component.find('scheduler').getElement();
    $(ele).fullCalendar({
        defaultView:'timelineDay',
        header: {
            left: 'prev,next today',
            center: 'title',
            right: 'month,basicWeek,basicDay'
        },

        navLinks: true,
        editable: true,
        eventLimit: true,
        resources: [
            { id: 'a', title: 'Auditorium A' },
            { id: 'b', title: 'Auditorium B', eventColor: 'green' },
            { id: 'c', title: 'Auditorium C', eventColor: 'orange' },
            { id: 'd', title: 'Auditorium D', children: [
                { id: 'd1', title: 'Room D1' },
                { id: 'd2', title: 'Room D2' }
            ] },
            { id: 'e', title: 'Auditorium E' },
            { id: 'f', title: 'Auditorium F', eventColor: 'red' },
            { id: 'g', title: 'Auditorium G' },
            { id: 'h', title: 'Auditorium H' },
            { id: 'i', title: 'Auditorium I' },
            { id: 'j', title: 'Auditorium J' },
            { id: 'k', title: 'Auditorium K' }
        ],
        events: [
            { id: '1', resourceId: 'b', start: '2017-05-02T02:00:00', end: '2017-05-04T05:00:00', title: 'timed' },
            { id: '3', resourceId: 'd', start: '2017-05-03', end: '2015-08-05', title: 'allday' }
        ],

       //groupByDateAndResource :true,
        groupbyresource:true,
        defaultDate: '2017-05-01',
        schedulerLicenseKey: 'GPL-My-Project-Is-Open-Source'
    });
},
</code></pre>

<p>The standar day/week/month buttons work as expected and the events are shown correctly. My issue is when I set <code>defaultview</code> to <code>timelineDay</code> I get the following result:
<a href=""https://i.stack.imgur.com/gMsvd.jpg"" rel=""nofollow noreferrer"">enter image description here</a></p>

<p>Day info and events per resource are missing. I tried different versions of libraries and js/css files but cannot make it work correctly. Any clue anyone?</p>
",,3__development
